"STAR_NUMBER":"Star":"Distance From The Sun":"EQUIVALENT TEMPERATURE":"RELATIVE MASS":"Radius":"luminosity":"stellar type"
6783:"Quanticus":63,1:3264:0,1:0,27:0:"M:2:V"
8750:"Tejat":194:3906:0,7:0,75:0,35:"K:7:V"
9017:"Galaxaraith":20,8:2779:0,2:0,35:0,04:"M:1:V"
8183:"Tuiren":1152,34:2558:0,2:0,51:0,02:"M:6:V"
63:"Wyrmslayer":2472,8:3375:0,1:0,58:0,08:"M:2:V"
8298:"Zaurak":195,3:2921:0,3:0,28:0,03:"M:5:V"
7614:"Snowstrider":418,848:2582:0,2:0,33:0,08:"M:6:V"
7539:"Asterope":706,14:3912:0,6:0,82:0,45:"K:2:V"
5041:"Cassioth":1526,02:2446:0,3:0,37:0,06:"M:8:V"
1326:"Tabit":6000:4120:0,5:0,86:0,15:"K:6:V"
9747:"Botein":162,09:2618:0,3:0,18:0,04:"M:5:V"
8594:"Emiw":150,593:3183:0,2:0,05:0,03:"M:2:V"
8805:"Astromara":756,486:2783:0,2:0,51:0,07:"M:5:V"
3877:"Fomalhaut":1312,85:4175:0,5:0,79:0,36:"K:6:V"
5100:"Tesserara":16,7:4286:0,6:0,93:0,25:"K:5:V"
4123:"Seishin":1571,34:5354:0,8:1,04:0,74:"G:5:V"
327:"Ronin's Veil":841,893:4458:0,5:0,76:0,37:"K:0:V"
354:"Cebalrai":513:2779:0,2:0,39:0,07:"M:1:V"
5285:"Pleione":28,93:3084:0,3:0,45:0,02:"M:2:V"
2912:"Arcadian Whispers":683,062:2476:0,1:0,68:0,03:"M:8:V"
8014:"Luminous Wraith":51,84:3117:0,1:0:0,06:"M:0:V"
1560:"Kaus Australis":1669,73:2529:0,3:0,62:0,08:"M:5:V"
4861:"Tonatiuh":835,455:2409:0,3:0,1:0,01:"M:5:V"
6929:"Cleopatra's Loom":1248,75:4533:0,5:0,88:0,32:"K:2:V"
7675:"Pulsar Serenity":1009,49:3975:0,7:0,78:0,54:"K:4:V"
1780:"Sham":80,9:3902:0,5:0,88:0,43:"K:6:V"
2525:"Vesperian Whimsy":134,61:4260:0,5:0,8:0,28:"K:2:V"
6017:"Pharaoh's Veil":267,74:3796:0,6:0,73:0,47:"K:6:V"
9111:"Astroflux":510:3138:0,1:0,59:0,02:"M:2:V"
7160:"Hoshizora":72,79:2436:0,4:0,16:0:"M:2:V"
5967:"Whalecaller":662,032:2926:0,4:0,37:0,08:"M:4:V"
7709:"Heliosara":769,112:2760:0,3:0,19:0,07:"M:0:V"
6442:"Diadem":259,935:3091:0,4:0,34:0,07:"M:2:V"
2346:"Kiri Horizon":7040:3065:0,4:0,41:0,04:"M:3:V"
4762:"Radiantara":457,75:3856:0,8:0,86:0,34:"K:3:V"
8104:"Mazaalai":721,8132:2523:0,4:0,1:0,06:"M:5:V"
4303:"Hannya's Expanse":967:4414:0,5:0,84:0,31:"K:3:V"
1706:"Kamikaze Resonance":1119,7:3194:0,2:0,59:0,05:"M:3:V"
4119:"Alasia":758,438:2433:0,4:0,36:0,01:"M:8:V"
433:"Sakura Mirage":96,9:2863:0,1:0,55:0,03:"M:1:V"
9042:"Caelus Cipher":1744,29:4413:0,6:0,94:0,28:"K:2:V"
2638:"Porrima":37,84:4328:0,5:0,73:0,51:"K:5:V"
6800:"Ukiyo's Resonance":765:2741:0,2:0,04:0:"M:5:V"
2758:"Helian Nebula":296,3:3188:0,4:0,01:0,03:"M:0:V"
970:"Zhang":285,584:2526:0,4:0,19:0,07:"M:1:V"
6954:"Axefall":374:2649:0,3:0,39:0,02:"M:6:V"
6086:"Aurum Quasar":393,561:3887:0,7:0,88:0,39:"K:4:V"
7056:"Abyssal Mirage":353,38:3790:0,8:0,78:0,36:"K:7:V"
9422:"Quasarion":638,17:2817:0,3:0,11:0,02:"M:2:V"
3782:"Nebulithium":344:4720:0,7:0,81:0,56:"K:1:V"
7847:"Nunki":15,5575:4125:0,8:0,91:0,31:"K:6:V"
1845:"Ma'at's Celestial":75,3:3391:0,3:0,2:0,03:"M:0:V"
3601:"Altais":315,278:2474:0,2:0,1:0,01:"M:6:V"
8860:"Bubup":203,788:3853:0,6:0,74:0,15:"K:5:V"
4459:"Isis Threshold":1009:2936:0,2:0,69:0,04:"M:3:V"
9651:"Stardrax":142,5:2501:0,2:0,68:0,02:"M:8:V"
7590:"Frostbloom":1518:5234:1:0,99:1,37:"G:4:V"
8351:"Sphinx Nebula":122,3:3090:0,1:0,25:0,06:"M:2:V"
4043:"Ombria":109,6:2856:0,3:0,23:0:"M:5:V"
2097:"Abyssal Echoes":409,46:4611:0,5:0,9:0,44:"K:2:V"
7559:"Celestrium":1213,74:3085:0,2:0,24:0,06:"M:2:V"
3990:"Vortexith":295,293:3025:0,1:0,68:0,06:"M:2:V"
2095:"Ignitionara":1600,51:3071:0,4:0,51:0,02:"M:3:V"
4444:"Stardrake":746,603:3803:0,5:0,8:0,45:"K:5:V"
6932:"Galaxy Prism":191:3292:0,1:0,14:0,06:"M:2:V"
8909:"Lunarianth":61,89:4418:0,8:0,89:0,54:"K:3:V"
3124:"Dingolay":800,769:2758:0,3:0,04:0,02:"M:1:V"
6430:"Aegis Obscura":15,1:2557:0,3:0,36:0,05:"M:7:V"
6383:"Bélénos":592,733:2560:0,1:0,27:0,06:"M:5:V"
946:"Kasai Ember":186,6:3258:0,3:0,17:0,04:"M:0:V"
3074:"Alya":1031,89:2578:0,2:0,47:0,04:"M:3:V"
6502:"Pyramid Radiance":1035,2:3152:0,1:0,17:0,05:"M:2:V"
5305:"Spectrion":570,05:5675:0,8:1,15:1,15:"G:2:V"
6831:"Lotus Echo":25,7:5397:0,9:1,06:1,11:"G:5:V"
3163:"Nebularian":52,82:3257:0,1:0,38:0,06:"M:3:V"
336:"Amatsu Echo":37,2209:3351:0,2:0,68:0,08:"M:1:V"
1095:"Alphecca":458,91:5607:0,9:1,1:0,82:"G:4:V"
9448:"Nefertiti's Nebula":6290:2410:0,1:0,2:0,04:"M:0:V"
6305:"Orionyx":218,39:2640:0,2:0,33:0,02:"M:2:V"
1930:"Bastet's Silence":583,6:2537:0,2:0,57:0,07:"M:0:V"
780:"Citadelle":1179,52:3989:0,7:0,76:0,4:"K:5:V"
611:"Mebsuta":31,26:2665:0,2:0,36:0,02:"M:6:V"
4227:"Astral Whisper":5080:2827:0,3:0,24:0,04:"M:0:V"
9343:"Nebula Whisper":315,637:2757:0,3:0,68:0,02:"M:2:V"
909:"Comet Veil":1573,07:3621:0,4:0,63:0,04:"M:0:V"
8637:"Algieba":327,783:2510:0,3:0,11:0,03:"M:8:V"
2693:"Zosma":725:2974:0,4:0,45:0,03:"M:1:V"
295:"Musica":1239,77:3403:0,3:0,59:0,04:"M:2:V"
3571:"Kasumi":240,9:2726:0,4:0,41:0,01:"M:4:V"
2035:"Komorebi":374,827:2464:0,2:0,12:0,02:"M:5:V"
4323:"Kurhah":368,31:2578:0,4:0,33:0,04:"M:1:V"
2850:"Naledi":62:2909:0,2:0,2:0,04:"M:4:V"
2836:"Algol":48,7:3249:0,2:0,09:0,05:"M:2:V"
120:"Vorpal Abyss":921,659:3720:0,6:0,89:0,6:"K:5:V"
6353:"Electra":1386,19:3341:0,3:0,49:0,07:"M:2:V"
219:"Alsephina":414,47:2900:0,4:0,43:0,08:"M:5:V"
4290:"Scarabian Horizon":57,3973:5599:0,8:1,03:1,22:"G:4:V"
2084:"Quantum Quasar":1552,31:2604:0,1:0,69:0,05:"M:1:V"
7638:"Tsubasa Echoes":221,186:2477:0,3:0,45:0,02:"M:8:V"
1401:"Stellae Abyss":639,62:2942:0,1:0,45:0,06:"M:3:V"
1851:"Alnair":139,22:3015:0,3:0,34:0,03:"M:3:V"
9891:"Elgafar":718,3:2605:0,3:0,25:0:"M:4:V"
9890:"Umi Celestial":565,739:5787:0,9:1,1:1,04:"G:2:V"
2526:"Axeheart":210,4:2763:0,4:0,43:0,07:"M:5:V"
8780:"Toliman":23,8839:5123:0,8:0,71:0,27:"K:0:V"
7352:"Sadalsuud":61,4925:4340:0,7:0,85:0,25:"K:2:V"
3881:"Aetherionyx":591,602:3013:0,2:0,63:0,04:"M:3:V"
934:"Starlight Shroud":1410,24:3012:0,3:0,65:0,04:"M:3:V"
5921:"Obelisk Whisper":472,567:5219:0,9:1,04:0,62:"G:3:V"
7140:"Alniyat":10,53:3932:0,6:0,92:0,43:"K:2:V"
8191:"Mirfak":126,7:3364:0,2:0:0,04:"M:2:V"
8441:"Tsukiyo":38,6846:2640:0,3:0,55:0,03:"M:4:V"
3007:"Talitha":66,08:2700:0,1:0,1:0,04:"M:1:V"
8659:"Starshara":211,4:2847:0,3:0,25:0,05:"M:2:V"
7742:"Sadr":48,3:3061:0,4:0,07:0,03:"M:3:V"
5414:"Copernicus":61,543:2596:0,3:0,4:0,01:"M:3:V"
4547:"Xamidimura":1274,05:2411:0,1:0,56:0,07:"M:0:V"
8306:"Tenshi Echoes":755:2982:0,1:0,59:0,04:"M:4:V"
5151:"Asahi Horizon":53,6:2796:0,4:0,27:0,01:"M:6:V"
1054:"Cor Caroli":202,51:3037:0,2:0,03:0,02:"M:3:V"
9581:"Galaxy Seraph":226,829:4148:0,5:0,88:0,2:"K:2:V"
2613:"Chamukuy":27,4932:5379:0,9:1,11:0,69:"G:2:V"
2103:"Mekbuda":673:2772:0,1:0,13:0,03:"M:2:V"
5587:"Sakura's Labyrinth":3,6:4669:0,8:0,95:0,34:"K:2:V"
7890:"Stormrider":156,951:3121:0,4:0,16:0,06:"M:3:V"
9263:"Solaris Cascade":808,4:4107:0,5:0,85:0,21:"K:6:V"
5063:"Koi's Radiance":656,642:2805:0,1:0,26:0,04:"M:1:V"
569:"Fulu":942,863:2473:0,4:0,23:0,06:"M:1:V"
1750:"Nebula Mirage":864,68:2407:0,1:0,56:0,03:"M:6:V"
7915:"Samurai's Ember":684,83:2969:0,4:0,7:0,02:"M:2:V"
2765:"Tupi":68,192:2914:0,4:0,46:0,05:"M:2:V"
1549:"Almaaz":341,22:2638:0,3:0,27:0,03:"M:5:V"
